time,value
1335739560,1502602000.0
1335739620,1502610000.0
1335739680,1502610000.0
1335739740,1502610000.0
1335739800,1502696000.0
1335739860,1503068000.0
1335739920,1503180000.0
1335739980,1503180000.0
1335740040,1503180000.0
1335740100,1503080000.0
1335740160,1502738000.0
1335740220,1502994000.0
1335740280,1503022000.0
1335740340,1502750000.0
1335740400,1502724000.0
1335740460,1502612000.0
1335740520,1502594000.0
